urls,male,female,university,college,intermediate,education_not_required,banking,insurance,security,real_estate,employee,observer,manager,chief_manager,age,min_age,max_age,min_exp,max_exp,min_salary,max_salary
https://careerbuilder.vn/vi/tim-viec-lam/truong-phong-kinh-doanh-bds-mang-ban-quan-2.35B79CE7.html,0,0,0,1,0,0,0,0,0,1,0,0,1,0,not_limited,not_limited,not_limited,2,5,12,20
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-nguon-von-khoi-dau-tu.35B7B734.html,0,0,1,0,0,0,1,0,1,0,1,0,0,0,22 - 28,22,28,1,2,12,20
https://careerbuilder.vn/vi/tim-viec-lam/nhan-vien-kinh-doanh.35B788A7.html,0,0,0,1,0,0,0,0,0,1,1,0,0,0,25 - 32,25,32,1,5,12,20
https://careerbuilder.vn/vi/tim-viec-lam/ke-toan-ngan-hang.35B78500.html,0,0,1,0,0,0,1,0,0,0,1,0,0,0,not_limited,not_limited,not_limited,2,5,12,20
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-tu-van-san-pham-bao-hiem.35B7907C.html,0,0,0,1,0,0,1,1,0,0,1,0,0,0,not_limited,not_limited,not_limited,1,3,12,18
https://careerbuilder.vn/vi/tim-viec-lam/ke-toan-kho.35B78532.html,0,0,0,1,0,0,1,0,0,0,1,0,0,0,not_limited,not_limited,not_limited,1,3,12,18
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-kiem-soat-chat-luong-qc-noi-that.35B76018.html,0,0,0,1,0,0,0,0,0,1,1,0,0,0,25 - 35,25,35,3,5,12,18
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-tu-van-san-pham-bao-hiem.35B74753.html,0,0,0,1,0,0,1,1,0,0,1,0,0,0,not_limited,not_limited,not_limited,1,3,12,18
https://careerbuilder.vn/vi/tim-viec-lam/quan-1-_-executive-front-bancassurance-_-19683kd.35B72F53.html,0,0,1,0,0,0,1,1,0,0,1,0,0,0,25 - 33,25,33,2,5,12,17
https://careerbuilder.vn/vi/tim-viec-lam/nhan-vien-bao-tri-xay-dung.35B7B5F7.html,1,0,0,0,1,0,0,0,0,1,1,0,0,0,28 - 45,28,45,2,6,12,16
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-kinh-doanh-quan-ly-dai-ly-chu-dau-tu.35B79AA4.html,0,0,1,0,0,0,0,0,0,1,1,0,0,0,not_limited,not_limited,not_limited,4,10,12,16
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-kiem-soat-sau-tham-dinh-gia.35B731AE.html,0,0,1,0,0,0,1,0,0,1,1,0,0,0,not_limited,not_limited,not_limited,3,6,12,16
https://careerbuilder.vn/vi/tim-viec-lam/ke-toan-ngan-hang.35B7C230.html,0,0,1,0,0,0,1,0,0,0,1,0,0,0,25 - 35,25,35,2,5,12,15
https://careerbuilder.vn/vi/tim-viec-lam/mep-engineer-building-apartment.35B7A5C4.html,1,0,0,1,0,0,0,0,0,1,1,0,0,0,not_limited,not_limited,not_limited,5,6,12,15
https://careerbuilder.vn/vi/tim-viec-lam/civil-engineer.35B7A5CE.html,1,0,0,1,0,0,0,0,0,1,1,0,0,0,not_limited,not_limited,not_limited,5,6,12,15
https://careerbuilder.vn/vi/tim-viec-lam/ke-toan-thanh-toan.35B7B4E6.html,0,0,1,0,0,0,1,0,0,0,1,0,0,0,26 - 35,26,35,3,5,12,15
https://careerbuilder.vn/vi/tim-viec-lam/truong-nhom-thu-hoi-no-qua-dien-thoai.35B77E5E.html,0,1,0,1,0,0,1,0,0,0,0,1,0,0,not_limited,not_limited,not_limited,3,5,12,15
https://careerbuilder.vn/vi/tim-viec-lam/ke-toan-quan-tri.35B77913.html,1,0,0,1,0,0,1,0,0,0,1,0,0,0,not_limited,not_limited,not_limited,2,3,12,15
